m1,m2,m3,repository,version,code_quality,maintainability,total
0.5185185185185185,0.0,1.0,Admin,2021-10-18-01.33,0.5011111111111111,0.5011111111111111,0.5011111111111111
0.6744186046511628,0.0,1.0,Admin,2021-11-04-00.35,0.5525581395348838,0.5525581395348838,0.5525581395348838
0.7142857142857143,0.0,0.8928571428571429,Content,2021-09-14-03:28,0.5303571428571429,0.5303571428571429,0.5303571428571429
0.7115384615384616,0.0,0.9423076923076923,Content,2021-09-27-03.22,0.5457692307692308,0.5457692307692308,0.5457692307692308
0.7230769230769231,0.0,0.9692307692307692,Content,2021-10-06-19.24,0.5584615384615385,0.5584615384615385,0.5584615384615385
0.6979166666666666,0.0,0.9791666666666666,Content,2021-10-19-18.48,0.5534375,0.5534375,0.5534375
0.71,0.0,0.98,Content,2021-11-03-22:59,0.5577000000000001,0.5577000000000001,0.5577000000000001
0.5714285714285714,0.0,1.0,Files,2021-09-14-03:28,0.5185714285714286,0.5185714285714286,0.5185714285714286
0.5,0.0,1.0,Files,2021-10-15-19.42,0.495,0.495,0.495
0.5,0.0,1.0,Files,2021-10-15-20.05,0.495,0.495,0.495
0.5,0.0,1.0,Files,2021-11-03-22:59,0.495,0.495,0.495
0.625,0.0,1.0,User,2021-09-14-03:28,0.53625,0.53625,0.53625
0.625,0.0,1.0,User,2021-09-27-02.31,0.53625,0.53625,0.53625
0.5,0.0,0.9285714285714286,User,2021-10-24-19.18,0.4714285714285714,0.4714285714285714,0.4714285714285714
0.5,0.0,0.9285714285714286,User,2021-11-03-22:59,0.4714285714285714,0.4714285714285714,0.4714285714285714
0.5555555555555556,0.0,1.0,Mobile_App,2021-09-14-03:28,0.5133333333333334,0.5133333333333334,0.5133333333333334
0.5555555555555556,0.0,1.0,Mobile_App,2021-09-27-03.13,0.5133333333333334,0.5133333333333334,0.5133333333333334
0.5411764705882353,0.0,1.0,Mobile_App,2021-10-19-18.47,0.5085882352941177,0.5085882352941177,0.5085882352941177
0.5411764705882353,0.0,1.0,Mobile_App,2021-11-03-22:59,0.5085882352941177,0.5085882352941177,0.5085882352941177
